Player,#,Team,Pos,HT,WT,Age,Exp,College,Status
Mitch Tinsley,82,CIN,WR,6'1,205,26,2,Penn State,ACT
DJ Turner II,20,CIN,CB,5'11,185,25,3,Michigan,ACT
Cordell Volson,67,CIN,G,6'6,315,27,4,North Dakota State,ACT
William Wagner,46,CIN,LS,6'2,240,25,R,Michigan,ACT
Ke'Shawn Williams,12,CIN,WR,5'9,189,24,R,Indiana,ACT
Marco Wilson,24,CIN,CB,5'11,191,26,5,Florida,ACT
Russ Yeast,39,CIN,S,5'10,195,26,3,Kansas State,ACT
Tre Avery,28,CLE,CB,5'11,185,28,3,Rutgers,ACT
Jerome Baker,17,CLE,LB,6'2,232,29,8,Ohio State,ACT
Brenden Bates,82,CLE,TE,6'5,255,26,2,Kentucky,ACT
Joel Bitonio,75,CLE,G,6'4,320,34,12,Nevada,ACT
Corey Bojorquez,13,CLE,P,6'1,217,29,8,New Mexico,ACT
Isaiah Bond,16,CLE,WR,5'11,180,21,R,Texas,ACT
Devin Bush,30,CLE,LB,5'11,235,27,7,Michigan,ACT
Jeremiah Byers,63,CLE,T,6'4,320,24,R,Florida State,ACT
Tyson Campbell,7,CLE,CB,6'1,195,25,5,Georgia,ACT
Malachi Corley,83,CLE,WR,5'11,215,23,2,Western Kentucky,ACT
Grant Delpit,9,CLE,S,6'3,208,27,6,LSU,ACT
Mohamoud Diabate,43,CLE,LB,6'4,225,24,3,Utah,ACT
Christopher Edmonds,41,CLE,S,6'2,210,24,1,Arizona State,ACT
Kingsley Eguakun,65,CLE,C,6'3,305,24,1,Florida,ACT
Harold Fannin Jr.,44,CLE,TE,6'4,241,21,R,Bowling Green,ACT
Dillon Gabriel,8,CLE,QB,5'11,205,25,R,Oregon,ACT
Myles Garrett,95,CLE,DE,6'4,272,30,9,Texas A&M,ACT
Mason Graham,94,CLE,DT,6'4,315,22,R,Michigan,ACT
Kendrick Green,52,CLE,C,6'4,315,27,5,Illinois,ACT
Mike Hall Jr.,51,CLE,DT,6'3,300,22,2,Ohio State,ACT
Myles Harden,26,CLE,CB,5'11,195,24,2,South Dakota,ACT
Shelby Harris,93,CLE,DT,6'2,288,34,11,Illinois State,ACT
Ronnie Hickman,33,CLE,S,6'1,209,24,3,Ohio State,ACT
Adin Huntington,98,CLE,DT,6'1,281,23,R,Tulane,ACT
Rayshawn Jenkins,5,CLE,S,6'1,220,32,9,Miami,ACT
Teven Jenkins,74,CLE,G,6'6,321,27,5,Oklahoma State,ACT
Jerry Jeudy,3,CLE,WR,6'1,195,26,6,Alabama,ACT
Sam Kamara,92,CLE,DT,6'1,272,28,3,Stony Brook,ACT
Gage Larvadain,84,CLE,WR,5'8,171,23,R,South Carolina,ACT
KT Leveston,72,CLE,T,6'4,335,26,2,Kansas State,ACT
Cornelius Lucas,71,CLE,T,6'8,327,34,11,Kansas State,ACT
Easton Mascarenas-Arnold,42,CLE,LB,5'11,227,23,R,USC,ACT
Isaiah McGuire,57,CLE,DE,6'4,268,24,3,Missouri,ACT
Donovan McMillon,31,CLE,S,6'2,203,23,R,Pittsburgh,ACT
David Njoku,85,CLE,TE,6'4,246,29,9,Miami (Fla.),ACT
Cam Robinson,68,CLE,T,6'6,335,30,9,Alabama,ACT
D'Angelo Ross,20,CLE,CB,5'9,190,29,4,New Mexico,ACT
Dylan Sampson,22,CLE,RB,5'8,200,21,R,Tennessee,ACT
Raheim Sanders,35,CLE,RB,6'1,230,23,R,South Carolina,ACT
Shedeur Sanders,12,CLE,QB,6'2,212,24,R,Colorado,ACT
Rex Sunahara,50,CLE,LS,6'6,242,29,2,West Virginia,ACT
Andre Szmyt,25,CLE,K,6'1,200,27,1,Syracuse,ACT
Cameron Thomas,99,CLE,DE,6'4,265,25,4,San Diego State,ACT
Jamari Thrash,80,CLE,WR,6'1,190,25,2,Louisville,ACT
Cedric Tillman,19,CLE,WR,6'3,215,25,3,Tennessee,ACT
Edefuan Ulofoshio,54,CLE,LB,6'1,240,26,2,Washington,ACT
Denzel Ward,21,CLE,CB,5'11,190,28,8,Ohio State,ACT
Sam Webb,27,CLE,CB,6'1,194,27,3,Missouri Western,ACT
Blake Whiteheart,86,CLE,TE,6'4,250,25,3,Wake Forest,ACT
Trayveon Williams,38,CLE,RB,5'8,206,28,7,Texas A&M,ACT
Alex Wright,91,CLE,DE,6'5,267,25,4,UAB,ACT
Luke Wypler,56,CLE,C,6'3,303,24,3,Ohio State,ACT
Zak Zinter,70,CLE,G,6'6,310,24,2,Michigan,ACT
DeAndre Carter,2,CLE,WR,5'8,190,32,8,Sacramento State,IR
Maliek Collins,96,CLE,DT,6'2,310,30,10,Nebraska,IR
Jack Conklin,78,CLE,T,6'6,308,31,10,Michigan State,IR
Martin Emerson Jr.,1,CLE,CB,6'2,201,25,4,Mississippi State,IR
Jerome Ford,34,CLE,RB,5'10,210,26,4,Cincinnati,IR
Dawand Jones,79,CLE,T,6'8,374,24,3,Ohio State,IR
Dom Jones,37,CLE,CB,6'2,192,25,R,Colorado State,IR
Quinshon Judkins,10,CLE,RB,5'11,221,22,R,Ohio State,IR
Ethan Pocic,55,CLE,C,6'6,320,30,9,LSU,IR
Winston Reid,59,CLE,LB,6'1,225,26,2,Weber State,IR
Carson Schwesinger,49,CLE,LB,6'3,242,22,R,UCLA,IR
Wyatt Teller,77,CLE,G,6'4,315,31,8,Virginia Tech,IR
Nathaniel Watson,40,CLE,LB,6'1,233,25,2,Mississippi State,IR
Jeremiah Owusu-Koramoah,6,CLE,LB,6'2,221,26,5,Notre Dame,IR
Deshaun Watson,4,CLE,QB,6'3,223,30,9,Clemson,IR
David Bell,N/A,CLE,WR,6'1,212,25,4,Purdue,IR
Jordan Hicks,N/A,CLE,LB,6'1,235,33,10,Texas,IR
Elerson G. Smith,N/A,CLE,DE,6'7,245,27,4,Northern Iowa,IR
Rasheen Ali,N/A,BAL,RB,5'11,210,25,2,Marshall,ACT
Mark Andrews,N/A,BAL,TE,6'5,250,30,8,Oklahoma,ACT
Chidobe Awuzie,N/A,BAL,CB,5'11,202,30,9,Colorado,ACT
Rashod Bateman,N/A,BAL,WR,6'1,193,26,5,Minnesota,ACT
Corey Bullock,N/A,BAL,C,6'3,320,24,1,Maryland,ACT
Daniel Faalele,N/A,BAL,G,6'8,370,26,4,Minnesota,ACT
Zay Flowers,N/A,BAL,WR,5'9,183,25,3,Boston College,ACT
Alohi Gilman,N/A,BAL,S,5'10,201,28,6,Notre Dame,ACT
Mike Green,N/A,BAL,OLB,6'3,250,22,R,Marshall,ACT
Kyle Hamilton,N/A,BAL,S,6'4,218,24,4,Notre Dame,ACT
Derrick Henry,N/A,BAL,RB,6'2,252,32,10,Alabama,ACT
Jay Higgins IV,N/A,BAL,ILB,6'1,230,24,R,Iowa,ACT
DeAndre Hopkins,N/A,BAL,WR,6'1,210,33,13,Clemson,ACT
Jake Hummel,N/A,BAL,LB,6'1,235,27,4,Iowa State,ACT
Marlon Humphrey,N/A,BAL,CB,6'1,210,29,9,Alabama,ACT
Tyler Huntley,N/A,BAL,QB,6'1,204,28,6,Utah,ACT
Keondre Jackson,N/A,BAL,S,6'2,215,23,R,Illinois State,ACT
Lamar Jackson,N/A,BAL,QB,6'2,205,29,8,Louisville,ACT
John Jenkins,N/A,BAL,DL,6'3,360,36,13,Georgia,ACT
Carl Jones,N/A,BAL,LB,6'2,230,24,1,UCLA,ACT
Dre'Mont Jones,N/A,BAL,DE,6'3,265,29,7,Ohio State,ACT
Emery Jones Jr.,N/A,BAL,G,6'5,320,21,R,LSU,ACT
Travis Jones,N/A,BAL,DL,6'4,341,26,4,Connecticut,ACT
Charlie Kolar,N/A,BAL,TE,6'6,265,27,4,Iowa State,ACT
Isaiah Likely,N/A,BAL,TE,6'4,245,25,4,Coastal Carolina,ACT
Tyler Linderbaum,N/A,BAL,C,6'2,305,25,4,Iowa,ACT
Tyler Loop,N/A,BAL,K,5'11,191,24,R,Arizona,ACT
Keyon Martin,N/A,BAL,CB,5'9,170,24,R,Louisiana-Lafayette,ACT
Keaton Mitchell,N/A,BAL,RB,5'8,190,24,3,East Carolina,ACT
Nick Moore,N/A,BAL,LS,6'2,260,33,4,Georgia,ACT
Joseph Noteboom,N/A,BAL,T,6'5,321,30,8,TCU,ACT
David Ojabo,N/A,BAL,OLB,6'4,252,25,4,Michigan,ACT
C.J. Okoye,N/A,BAL,DL,6'6,370,24,1,N/A,ACT
Aeneas Peebles,N/A,BAL,DL,6'1,289,24,R,Virginia Tech,ACT
Patrick Ricard,N/A,BAL,FB,6'3,300,31,9,Maine,ACT
Tavius Robinson,N/A,BAL,OLB,6'6,262,27,3,Mississippi,ACT
Roger Rosengarten,N/A,BAL,T,6'5,316,23,2,Washington,ACT
Cooper Rush,N/A,BAL,QB,6'3,225,32,8,Central Michigan,ACT
Trenton Simpson,N/A,BAL,ILB,6'2,235,24,3,Clemson,ACT
Roquan Smith,N/A,BAL,ILB,6'1,235,28,8,Georgia,ACT
Ronnie Stanley,N/A,BAL,T,6'6,310,31,10,Notre Dame,ACT
Malaki Starks,N/A,BAL,S,6'1,203,22,R,Georgia,ACT
Jordan Stout,N/A,BAL,P,6'3,209,27,4,Penn State,ACT
T.J. Tampa,N/A,BAL,CB,6'1,199,23,2,Iowa State,ACT
Brent Urban,N/A,BAL,DL,6'7,309,34,12,Virginia,ACT
Kyle Van Noy,N/A,BAL,OLB,6'3,255,34,12,BYU,ACT
Carson Vinson,N/A,BAL,T,6'7,320,24,R,Alabama A&M,ACT
Andrew Vorhees,N/A,BAL,G,6'6,320,27,2,USC,ACT
Devontez Walker,N/A,BAL,WR,6'1,198,24,2,North Carolina,ACT
Tylan Wallace,N/A,BAL,WR,5'11,200,26,5,Oklahoma State,ACT
Ar'Darius Washington,N/A,BAL,S,5'8,180,26,4,TCU,ACT
LaJohntay Wester,N/A,BAL,WR,5'9,170,23,R,Colorado,ACT
Nate Wiggins,N/A,BAL,CB,6'1,182,22,2,Clemson,ACT
Taven Bryan,N/A,BAL,DT,6'4,291,29,8,Florida,IR
Teddye Buchanan,N/A,BAL,ILB,6'2,240,23,R,California,IR
Justice Hill,N/A,BAL,RB,5'10,205,28,7,Oklahoma State,IR
Adisa Isaac,N/A,BAL,OLB,6'4,253,24,2,Penn State,IR
Bilhal Kone,N/A,BAL,CB,6'1,190,23,R,Western Michigan,IR
Robert Longerbeam,N/A,BAL,CB,5'11,174,25,R,Rutgers,IR
Nnamdi Madubuike,N/A,BAL,DL,6'3,305,28,6,Texas A&M,IR
Dayton Wade,N/A,BAL,WR,5'9,184,25,1,Mississippi,IR
Broderick Washington Jr.,N/A,BAL,DL,6'2,315,29,6,Texas Tech,IR
Cal Adomitis,N/A,PIT,LS,6'2,238,27,4,Pittsburgh,ACT
Calvin Anderson,N/A,PIT,T,6'5,300,29,7,Texas,ACT
Spencer Anderson,N/A,PIT,RG,6'5,305,25,3,Maryland,ACT
Calvin Austin III,N/A,PIT,WR,5'9,162,26,4,Memphis,ACT
Kyler Baugh,N/A,PIT,DT,6'2,305,24,1,Minnesota,ACT
Keeanu Benton,N/A,PIT,DT,6'4,309,24,3,Wisconsin,ACT
Yahya Black,N/A,PIT,DE,6'5,336,23,R,Iowa,ACT
Chris Boswell,N/A,PIT,K,6'2,185,34,11,Rice,ACT
Carson Bruener,N/A,PIT,LB,6'1,227,24,R,Washington,ACT
Cole Burgess,N/A,PIT,WR,6'1,192,26,1,Cortland State Of New York,ACT
Sebastian Castro,N/A,PIT,S,5'11,203,25,R,Iowa,ACT
Chuck Clark,N/A,PIT,DB,6'1,210,30,9,Virginia Tech,ACT
Dylan Cook,N/A,PIT,T,6'6,305,28,3,Montana,ACT
Jack Driscoll,N/A,PIT,RT,6'5,312,28,6,Auburn,ACT
Kyle Dugger,N/A,PIT,S,6'1,220,29,6,Lenoir Rhyne,ACT
Brandin Echols,N/A,PIT,CB,5'10,179,28,5,Kentucky,ACT
Daniel Ekuale,N/A,PIT,DT,6'3,300,32,7,Washington State,ACT
DeShon Elliott,N/A,PIT,S,6'1,210,28,8,Texas,ACT
Troy Fautanu,N/A,PIT,T,6'4,317,25,2,Washington,ACT
Zach Frazier,N/A,PIT,C,6'3,310,24,2,West Virginia,ACT
Pat Freiermuth,N/A,PIT,TE,6'5,258,27,5,Penn State,ACT
Kenneth Gainwell,N/A,PIT,RB,5'9,200,26,5,Memphis,ACT
JJ Galbreath,N/A,PIT,TE,6'4,240,24,R,South Dakota,ACT
Anthony Goodlow,N/A,PIT,DE,6'5,283,25,1,Oklahoma State,ACT
Daequan Hardy,N/A,PIT,DB,5'9,178,24,1,Penn State,ACT
Derrick Harmon,N/A,PIT,DT,6'4,313,22,R,Oregon,ACT
Malik Harrison,N/A,PIT,LB,6'3,247,27,6,Ohio State,ACT
Jack Henderson,N/A,PIT,S,6'2,215,24,R,Minnesota,ACT
KJ Henry,N/A,PIT,DE,6'4,255,27,3,Clemson,ACT
Nick Herbig,N/A,PIT,LB,6'2,240,24,3,Wisconsin,ACT
Cameron Heyward,N/A,PIT,DT,6'5,295,36,15,Ohio State,ACT
Connor Heyward,N/A,PIT,TE,6'1,230,27,4,Michigan State,ACT
Alex Highsmith,N/A,PIT,LB,6'4,242,28,6,Charlotte,ACT
Cole Holcomb,N/A,PIT,LB,6'1,240,29,7,North Carolina,ACT
Will Howard,N/A,PIT,QB,6'4,236,24,R,Ohio State,ACT
Max Hurleman,N/A,PIT,RB,5'11,200,24,R,Notre Dame,ACT
D'Shawn Jamison,N/A,PIT,DB,5'9,186,26,2,Texas,ACT
Kaleb Johnson,N/A,PIT,RB,6'1,224,22,R,Iowa,ACT
Broderick Jones,N/A,PIT,T,6'5,311,24,3,Georgia,ACT
Steven Jones,N/A,PIT,G,6'5,340,25,1,Oregon,ACT
Donte Kent,N/A,PIT,CB,5'10,189,24,R,Central Michigan,ACT
Miles Killebrew,N/A,PIT,S,6'2,222,32,10,Southern Utah State,ACT
Christian Kuntz,N/A,PIT,LS,6'1,228,31,5,Duquesne,ACT
Sataoa Laumea,N/A,PIT,G,6'4,319,25,2,Utah,ACT
Logan Lee,N/A,PIT,DT,6'5,286,25,2,Iowa,ACT
Isaiahh Loudermilk,N/A,PIT,DT,6'7,293,28,5,Wisconsin,ACT
Dean Lowry,N/A,PIT,DT,6'6,296,31,10,Northwestern,ACT
Ryan McCollum,N/A,PIT,C,6'5,300,27,3,Texas A&M,ACT
Mason McCormick,N/A,PIT,G,6'5,315,25,2,South Dakota State,ACT
DK Metcalf,N/A,PIT,WR,6'4,229,28,7,Mississippi,ACT
Scotty Miller,N/A,PIT,WR,5'9,174,28,7,Bowling Green,ACT
Jeremiah Moon,N/A,PIT,LB,6'5,247,27,3,Florida,ACT
Doug Nester,N/A,PIT,G,6'6,306,25,1,West Virginia,ACT
Lew Nichols ,N/A,PIT,RB,5'10,220,24,1,Central Michigan,ACT
Esezi Otomewo,N/A,PIT,DE,6'5,282,26,3,Minnesota,ACT
Donald Parham Jr. ,N/A,PIT,TE,6'8,237,28,5,Stetson,ACT
Andrus Peat,N/A,PIT,G,6'7,316,32,11,Stanford,ACT
Jabrill Peppers,N/A,PIT,S,5'11,213,30,9,Michigan,ACT
A.T. Perry,N/A,PIT,WR,6'5,205,26,2,Wake Forest,ACT
James Pierre,N/A,PIT,CB,6'2,185,29,6,Florida Atlantic,ACT
John Rhys Plumlee,N/A,PIT,WR,6'1,200,25,1,UCF,ACT
Joey Porter Jr.,N/A,PIT,CB,6'2,193,25,3,Penn State,ACT
Patrick Queen,N/A,PIT,LB,6'1,232,26,6,LSU,ACT
Jalen Ramsey,N/A,PIT,CB,6'1,211,31,10,Florida State,ACT
Jahvaree Ritzie,N/A,PIT,DE,6'4,294,23,R,North Carolina,ACT
Aaron Rodgers,N/A,PIT,QB,6'2,223,42,21,California,ACT
Mason Rudolph,N/A,PIT,QB,6'5,235,30,8,Oklahoma State,ACT
Asante Samuel Jr.,N/A,PIT,CB,5'10,180,26,5,Florida State,ACT
Jack Sawyer,N/A,PIT,LB,6'4,260,23,R,Ohio State,ACT
Max Scharping,N/A,PIT,G,6'6,327,29,7,Northern Illinois,ACT
Isaac Seumalo,N/A,PIT,G,6'4,303,32,10,Oregon State,ACT
Ben Skowronek,N/A,PIT,WR,6'3,224,28,5,Notre Dame,ACT
Doneiko Slaughter,N/A,PIT,DB,6'1,190,24,R,Arkansas,ACT
Brandon Smith,N/A,PIT,WR,6'2,220,27,1,Iowa,ACT
Jonnu Smith,N/A,PIT,TE,6'3,248,30,9,Florida International,ACT
Adam Thielen,N/A,PIT,WR,6'2,195,35,12,Minnesota State,ACT
Lorenzo Thompson,N/A,PIT,T,6'6,305,25,1,Rhode Island,ACT
Skylar Thompson,N/A,PIT,QB,6'2,219,28,4,Kansas State,ACT
Cory Trice Jr.,N/A,PIT,DB,6'3,206,25,3,Purdue,ACT
Marquez Valdes-Scantling,N/A,PIT,WR,6'4,206,31,8,University of South Florida,ACT
Corliss Waitman,N/A,PIT,P,6'2,210,30,3,South Alabama,ACT
Jaylen Warren,N/A,PIT,RB,5'8,215,27,4,Oklahoma State,ACT
Darnell Washington,N/A,PIT,TE,6'7,264,24,3,Georgia,ACT
T.J. Watt,N/A,PIT,LB,6'4,252,31,9,Wisconsin,ACT
Julius Welschof,N/A,PIT,LB,6'6,265,28,1,Charlotte,ACT
Aiden Williams,N/A,PIT,G,6'5,314,25,R,Duluth/University of Minnesota,ACT
Payton Wilson,N/A,PIT,LB,6'4,242,25,2,N.C. State,ACT
Roman Wilson,N/A,PIT,WR,5'10,186,24,2,Michigan,ACT
Ameer Abdullah,N/A,IND,RB,5'9,203,32,11,Nebraska,ACT
Adetomiwa Adebawore,N/A,IND,DT,6'2,282,24,3,Northwestern,ACT
Austin Ajiake,N/A,IND,LB,6'1,223,25,1,UNLV,ACT
Mo Alie-Cox,N/A,IND,TE,6'5,267,32,8,Virginia Commonwealth,ACT
Mekhi Blackmon,N/A,IND,CB,5'11,178,26,3,USC,ACT
Tanor Bortolini,N/A,IND,C,6'4,303,23,2,Wisconsin,ACT
John Bullock,N/A,IND,LB,6'1,230,24,R,Nebraska,ACT
Cam Bynum,N/A,IND,S,6'1,200,27,5,California,ACT
Jaylon Carlies,N/A,IND,LB,6'3,227,24,2,Missouri,ACT
Nick Cross,N/A,IND,S,6'1,212,24,4,Maryland,ACT
Josh Downs,N/A,IND,WR,5'9,171,24,3,North Carolina,ACT
Ashton Dulin,N/A,IND,WR,6'2,215,28,7,Malone University,ACT
Samson Ebukam,N/A,IND,DE,6'3,245,30,9,Eastern Washington,ACT
Johnathan Edwards,N/A,IND,CB,6'1,201,24,R,Tulane,ACT
Zaire Franklin,N/A,IND,LB,6'1,235,29,8,Syracuse,ACT
Neville Gallimore,N/A,IND,DT,6'2,307,29,6,Oklahoma,ACT
Sauce Gardner,N/A,IND,CB,6'3,190,24,4,Cincinnati,ACT
DJ Giddens,N/A,IND,RB,6'1,212,22,R,Kansas State,ACT
Matt Goncalves,N/A,IND,G,6'6,317,25,2,Pittsburgh,ACT
Tyler Goodson,N/A,IND,RB,5'9,197,25,3,Iowa,ACT
Blake Grupe,N/A,IND,K,5'7,156,27,3,Notre Dame,ACT
Buddy Johnson,N/A,IND,LB,6'2,240,26,4,Texas A&M,ACT
Eric Johnson II,N/A,IND,DT,6'4,320,27,4,Missouri State,ACT
Jaylon Jones,N/A,IND,CB,6'2,203,23,3,Texas A&M,ACT
Laiatu Latu,N/A,IND,DE,6'5,265,25,2,UCLA,ACT
Riley Leonard,N/A,IND,QB,6'4,213,23,R,Notre Dame,ACT
Tyquan Lewis,N/A,IND,DE,6'3,267,31,8,Ohio State,ACT
Reuben Lowery III,N/A,IND,S,5'9,204,23,R,Tennessee-Chattanooga,ACT
Will Mallory,N/A,IND,TE,6'4,239,26,3,Miami,ACT
Cameron Mitchell,N/A,IND,CB,5'11,191,24,3,Northwestern,ACT
Kenny Moore II,N/A,IND,CB,5'9,190,30,9,Valdosta State,ACT
Quenton Nelson,N/A,IND,G,6'5,330,29,8,Notre Dame,ACT
George Odum,N/A,IND,S,6'1,202,32,8,Central Arkansas,ACT
Segun Olubi,N/A,IND,LB,6'1,233,26,3,San Diego State,ACT
Kwity Paye,N/A,IND,DE,6'3,265,27,5,Michigan,ACT
Alec Pierce,N/A,IND,WR,6'3,211,25,4,Cincinnati,ACT
Danny Pinter,N/A,IND,C,6'4,301,29,6,Ball State,ACT
Michael Pittman Jr.,N/A,IND,WR,6'4,223,28,6,USC,ACT
Germaine Pratt,N/A,IND,LB,6'3,250,29,7,N.C. State,ACT
Bernhard Raimann,N/A,IND,T,6'6,303,28,4,Central Michigan,ACT
Luke Rhodes,N/A,IND,LS,6'2,238,33,9,William & Mary,ACT
Philip Rivers,N/A,IND,QB,6'5,228,44,18,North Carolina State,ACT
Rigoberto Sanchez,N/A,IND,P,6'1,195,31,9,Hawaii,ACT
Grover Stewart,N/A,IND,DT,6'4,314,32,9,Albany State (Ga.),ACT
Jonathan Taylor,N/A,IND,RB,5'10,226,27,6,Wisconsin,ACT
Luke Tenuta,N/A,IND,T,6'8,314,26,3,Virginia Tech,ACT
Rodney Thomas II,N/A,IND,S,6'1,196,27,4,Yale,ACT
Jalen Travis,N/A,IND,T,6'8,339,23,R,Iowa State,ACT
Laquon Treadwell,N/A,IND,WR,6'2,215,30,9,Mississippi,ACT
Dalton Tucker,N/A,IND,G,6'6,307,25,2,Marshall,ACT
JT Tuimoloau,N/A,IND,DE,6'4,264,22,R,Ohio State,ACT
Tyler Warren,N/A,IND,TE,6'6,256,23,R,Penn State,ACT
Chris Wormley,N/A,IND,DT,6'5,300,32,8,Michigan,ACT
Salvon Ahmed,N/A,IND,RB,5'11,197,27,5,Washington,IR
DeForest Buckner,N/A,IND,DT,6'7,295,31,10,Oregon,IR
Blake Freeland,N/A,IND,T,6'7,302,24,3,BYU,IR
Anthony Gould,N/A,IND,WR,5'8,174,24,2,Oregon State,IR
Daniel Jones,N/A,IND,QB,6'5,230,28,7,Duke,IR
Chris Lammons,N/A,IND,CB,5'10,190,30,5,South Carolina,IR
D.J. Montgomery,N/A,IND,WR,6'1,201,29,4,Austin Peay,IR
Drew Ogletree,N/A,IND,TE,6'5,260,27,4,Youngstown State,IR
Jacob Phillips,N/A,IND,LB,6'3,228,26,5,LSU,IR
Anthony Richardson Sr.,N/A,IND,QB,6'4,244,23,3,Florida,IR
Daniel Scott,N/A,IND,S,6'1,208,27,3,California,IR
Spencer Shrader,N/A,IND,K,6'2,201,26,2,Notre Dame,IR
Braden Smith,N/A,IND,T,6'6,312,29,8,Auburn,IR
Justin Walley,N/A,IND,CB,5'10,190,23,R,Minnesota,IR
Charvarius Ward,N/A,IND,CB,6'1,196,29,8,Middle Tennessee State,IR
Jack Wilson,N/A,IND,T,6'11,310,26,1,Washington State,IR
Hunter Wohler,N/A,IND,S,6'2,213,23,R,Wisconsin,IR
Yasir Abdullah,N/A,JAX,LB,6'1,240,25,3,Louisville,ACT
LeQuint Allen Jr.,N/A,JAX,RB,6'1,201,21,R,Syracuse,ACT
Arik Armstead,N/A,JAX,DT,6'7,290,32,11,Oregon,ACT
Christian Braswell,N/A,JAX,CB,5'11,185,26,2,Rutgers,ACT
Dyami Brown,N/A,JAX,WR,6'1,195,26,5,North Carolina,ACT
Montaric Brown,N/A,JAX,CB,6'1,190,26,4,Arkansas,ACT
Ezra Cleveland,N/A,JAX,LG,6'6,312,27,6,Boise State,ACT
Branson Combs,N/A,JAX,LB,6'3,228,25,R,Wake Forest,ACT
Logan Cooke,N/A,JAX,P,6'5,230,30,8,Mississippi State,ACT
DeeJay Dallas,N/A,JAX,RB,5'10,217,27,6,Miami,ACT
Matt Dickerson,N/A,JAX,DL,6'5,292,30,5,UCLA,ACT
Chuma Edoga,55,JAX,LG,6'4,315,28,7,USC,ACT
Travis Etienne Jr.,N/A,JAX,RB,5'10,215,27,5,Clemson,ACT
Dennis Gardeck,N/A,JAX,LB,6'1,232,31,8,Sioux Falls,ACT
B.J. Green II,N/A,JAX,DL,6'1,270,22,R,Colorado,ACT
Robert Hainsey,73,JAX,C,6'4,306,27,5,Notre Dame,ACT
DaVon Hamilton,N/A,JAX,DT,6'4,335,29,6,Ohio State,ACT
Anton Harrison,77,JAX,T,6'4,315,24,3,Oklahoma,ACT
Josh Hines-Allen,N/A,JAX,DE,6'5,255,28,7,Kentucky,ACT
Antonio Johnson,N/A,JAX,S,6'2,198,24,3,Texas A&M,ACT
Austin Johnson,N/A,JAX,DL,6'4,314,31,9,Penn State,ACT
Jarrian Jones,N/A,JAX,CB,5'11,190,24,2,Florida State,ACT
Rayuan Lane III,N/A,JAX,S,5'11,197,22,R,Navy,ACT
Trevor Lawrence,N/A,JAX,QB,6'6,220,26,5,Clemson,ACT
Cam Little,N/A,JAX,K,6'1,172,22,2,Arkansas,ACT
Walker Little,72,JAX,LT,6'7,325,26,5,Stanford,ACT
Devin Lloyd,N/A,JAX,LB,6'3,235,27,4,Utah,ACT
Hunter Long,N/A,JAX,TE,6'5,243,27,5,Boston College,ACT
Ross Matiscik,N/A,JAX,LS,6'1,240,29,6,Baylor,ACT
Patrick Mekari,65,JAX,LT,6'4,305,28,7,California,ACT
Jakobi Meyers,N/A,JAX,WR,6'2,200,29,7,N.C. State,ACT
Ventrell Miller,N/A,JAX,LB,6'1,232,27,3,Florida,ACT
Wyatt Milum,64,JAX,LT,6'6,317,23,R,West Virginia,ACT
Jonah Monheim,60,JAX,LT,6'5,310,23,R,USC,ACT
Quintin Morris,N/A,JAX,TE,6'2,243,27,4,Bowling Green,ACT
Nick Mullens,N/A,JAX,QB,6'1,210,30,7,Southern Mississippi,ACT
Johnny Mundt,N/A,JAX,TE,6'4,243,31,8,Oregon,ACT
Eric Murray,N/A,JAX,S,5'11,199,32,10,Minnesota,ACT
Greg Newsome II,N/A,JAX,CB,6'1,192,25,5,Northwestern,ACT
Emmanuel Ogbah,N/A,JAX,DL,6'4,275,32,10,Oklahoma State,ACT
Foyesade Oluokun,N/A,JAX,LB,6'2,230,30,8,Yale,ACT
Tim Patrick,N/A,JAX,WR,6'5,210,32,8,Utah,ACT
Maason Smith,N/A,JAX,DT,6'5,306,23,2,LSU,ACT
Dawuane Smoot,N/A,JAX,DE,6'3,275,30,9,Illinois,ACT
Brenton Strange,N/A,JAX,TE,6'4,253,25,3,Penn State,ACT
Danny Striggow,N/A,JAX,DL,6'5,255,23,R,Minnesota,ACT
Keith Taylor,N/A,JAX,CB,6'3,195,26,4,Washington,ACT
Brian Thomas Jr.,N/A,JAX,WR,6'2,209,23,2,LSU,ACT
Bhayshul Tuten,N/A,JAX,RB,5'9,209,24,R,Virginia Tech,ACT
Cole Van Lanen,70,JAX,G,6'5,312,27,5,Wisconsin,ACT
Travon Walker,N/A,JAX,DE,6'5,272,25,4,Georgia,ACT
Parker Washington,N/A,JAX,WR,5'10,204,23,3,Penn State,ACT
Andrew Wingard,N/A,JAX,S,6'1,200,29,7,Wyoming,ACT
Joshua Cephus,N/A,JAX,WR,6'2,193,24,1,Texas-San Antonio,IR
Travis Hunter,N/A,JAX,WR,6'1,185,22,R,Colorado,IR
Jack Kiser,N/A,JAX,LB,6'2,231,25,R,Notre Dame,IR
Jourdan Lewis,N/A,JAX,CB,5'10,190,30,9,Michigan,IR
Jalen McLeod,N/A,JAX,LB,6'1,236,23,R,Auburn,IR
Caleb Ransaw,N/A,JAX,DB,6'1,196,23,R,Tulane,IR
Cooper Hodges,75,JAX,RT,6'4,305,25,3,Appalachian State,IR
Azeez Al-Shaair,N/A,HOU,LB,6'2,228,28,7,Florida Atlantic,ACT
Will Anderson Jr.,N/A,HOU,DE,6'4,243,24,3,Alabama,ACT
